variant	country	freq	date	median_freq_nowcast	median_freq_forecast	model
20	tropics	0.9603174603174603	2025-04-29	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-04-30	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-01	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-02	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-03	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-04	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-05	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-06	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-07	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-08	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-09	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-10	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-11	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-12	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-13	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-14	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-15	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-16	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-17	0.9603174603174603		NAIVE
20	tropics	0.9603174603174603	2025-05-18	0.9603174603174603		NAIVE
20	tropics	0.9537037037037037	2025-05-19	0.9537037037037037		NAIVE
20	tropics	0.9537037037037037	2025-05-20	0.9537037037037037		NAIVE
20	tropics	0.9537037037037037	2025-05-21	0.9537037037037037		NAIVE
20	tropics	0.9537037037037037	2025-05-22	0.9537037037037037		NAIVE
20	tropics	0.9537037037037037	2025-05-23	0.9537037037037037		NAIVE
20	tropics	0.9537037037037037	2025-05-24	0.9537037037037037		NAIVE
20	tropics	0.9537037037037037	2025-05-25	0.9537037037037037		NAIVE
20	tropics	0.9305555555555555	2025-05-26	0.9305555555555555		NAIVE
20	tropics	0.9305555555555555	2025-05-27	0.9305555555555555		NAIVE
20	tropics	0.9305555555555555	2025-05-28	0.9305555555555555		NAIVE
20	tropics	0.9305555555555555	2025-05-29	0.9305555555555555		NAIVE
20	tropics	0.9305555555555555	2025-05-30	0.9305555555555555		NAIVE
20	tropics	0.9305555555555555	2025-05-31	0.9305555555555555		NAIVE
20	tropics	0.9305555555555555	2025-06-01	0.9305555555555555		NAIVE
20	tropics	0.9305555555555557	2025-06-02	0.9305555555555557		NAIVE
20	tropics	0.9305555555555557	2025-06-03	0.9305555555555557		NAIVE
20	tropics	0.9305555555555557	2025-06-04	0.9305555555555557		NAIVE
20	tropics	0.9305555555555557	2025-06-05	0.9305555555555557		NAIVE
20	tropics	0.9305555555555557	2025-06-06	0.9305555555555557		NAIVE
20	tropics	0.9305555555555557	2025-06-07	0.9305555555555557		NAIVE
20	tropics	0.9305555555555557	2025-06-08	0.9305555555555557		NAIVE
20	tropics	0.9583333333333334	2025-06-09	0.9583333333333334		NAIVE
20	tropics	0.9583333333333334	2025-06-10	0.9583333333333334		NAIVE
20	tropics	0.9583333333333334	2025-06-11	0.9583333333333334		NAIVE
20	tropics	0.9583333333333334	2025-06-12	0.9583333333333334		NAIVE
20	tropics	0.9583333333333334	2025-06-13	0.9583333333333334		NAIVE
20	tropics	0.9583333333333334	2025-06-14	0.9583333333333334		NAIVE
20	tropics	0.9583333333333334	2025-06-15	0.9583333333333334		NAIVE
20	tropics	0.875	2025-06-16	0.875		NAIVE
20	tropics	0.875	2025-06-17	0.875		NAIVE
20	tropics	0.875	2025-06-18	0.875		NAIVE
20	tropics	0.875	2025-06-19	0.875		NAIVE
20	tropics	0.875	2025-06-20	0.875		NAIVE
20	tropics	0.875	2025-06-21	0.875		NAIVE
20	tropics	0.875	2025-06-22	0.875		NAIVE
20	tropics	0.875	2025-06-23	0.875		NAIVE
20	tropics	0.875	2025-06-24	0.875		NAIVE
20	tropics	0.875	2025-06-25	0.875		NAIVE
20	tropics	0.875	2025-06-26	0.875		NAIVE
20	tropics	0.875	2025-06-27	0.875		NAIVE
20	tropics	0.875	2025-06-28	0.875		NAIVE
20	tropics	0.875	2025-06-29	0.875		NAIVE
20	tropics	0.8416666666666667	2025-06-30	0.8416666666666667		NAIVE
20	tropics	0.8416666666666667	2025-07-01	0.8416666666666667		NAIVE
20	tropics	0.8416666666666667	2025-07-02	0.8416666666666667		NAIVE
20	tropics	0.8416666666666667	2025-07-03	0.8416666666666667		NAIVE
20	tropics	0.8416666666666667	2025-07-04	0.8416666666666667		NAIVE
20	tropics	0.8416666666666667	2025-07-05	0.8416666666666667		NAIVE
20	tropics	0.8416666666666667	2025-07-06	0.8416666666666667		NAIVE
20	tropics	0.8642857142857142	2025-07-07	0.8642857142857142		NAIVE
20	tropics	0.8642857142857142	2025-07-08	0.8642857142857142		NAIVE
20	tropics	0.8642857142857142	2025-07-09	0.8642857142857142		NAIVE
20	tropics	0.8642857142857142	2025-07-10	0.8642857142857142		NAIVE
20	tropics	0.8642857142857142	2025-07-11	0.8642857142857142		NAIVE
20	tropics	0.8642857142857142	2025-07-12	0.8642857142857142		NAIVE
20	tropics	0.8642857142857142	2025-07-13	0.8642857142857142		NAIVE
20	tropics	0.8047619047619048	2025-07-14	0.8047619047619048		NAIVE
20	tropics	0.8047619047619048	2025-07-15	0.8047619047619048		NAIVE
20	tropics	0.8047619047619048	2025-07-16	0.8047619047619048		NAIVE
20	tropics	0.8047619047619048	2025-07-17	0.8047619047619048		NAIVE
20	tropics	0.8047619047619048	2025-07-18	0.8047619047619048		NAIVE
20	tropics	0.8047619047619048	2025-07-19	0.8047619047619048		NAIVE
20	tropics	0.8047619047619048	2025-07-20	0.8047619047619048		NAIVE
20	tropics	0.769047619047619	2025-07-21	0.769047619047619		NAIVE
20	tropics	0.769047619047619	2025-07-22	0.769047619047619		NAIVE
20	tropics	0.769047619047619	2025-07-23	0.769047619047619		NAIVE
20	tropics	0.769047619047619	2025-07-24	0.769047619047619		NAIVE
20	tropics	0.769047619047619	2025-07-25	0.769047619047619		NAIVE
20	tropics	0.769047619047619	2025-07-26	0.769047619047619		NAIVE
20	tropics	0.769047619047619	2025-07-27	0.769047619047619		NAIVE
20	tropics	0.7078231292517007	2025-07-28	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-07-29	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-07-30	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-07-31	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-01	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-02	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-03	0.7078231292517007		NAIVE
20	tropics	0.7792517006802722	2025-08-04	0.7792517006802722		NAIVE
20	tropics	0.7792517006802722	2025-08-05	0.7792517006802722		NAIVE
20	tropics	0.7792517006802722	2025-08-06	0.7792517006802722		NAIVE
20	tropics	0.7792517006802722	2025-08-07	0.7792517006802722		NAIVE
20	tropics	0.7792517006802722	2025-08-08	0.7792517006802722		NAIVE
20	tropics	0.7792517006802722	2025-08-09	0.7792517006802722		NAIVE
20	tropics	0.7792517006802722	2025-08-10	0.7792517006802722		NAIVE
20	tropics	0.7078231292517007	2025-08-11	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-12	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-13	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-14	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-15	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-16	0.7078231292517007		NAIVE
20	tropics	0.7078231292517007	2025-08-17	0.7078231292517007		NAIVE
20	tropics	0.641156462585034	2025-08-18	0.641156462585034		NAIVE
20	tropics	0.641156462585034	2025-08-19	0.641156462585034		NAIVE
20	tropics	0.641156462585034	2025-08-20	0.641156462585034		NAIVE
20	tropics	0.641156462585034	2025-08-21	0.641156462585034		NAIVE
20	tropics	0.641156462585034	2025-08-22	0.641156462585034		NAIVE
20	tropics	0.641156462585034	2025-08-23	0.641156462585034		NAIVE
20	tropics	0.641156462585034	2025-08-24	0.641156462585034		NAIVE
20	tropics	0.5340136054421769	2025-08-25	0.5340136054421769		NAIVE
20	tropics	0.5340136054421769	2025-08-26	0.5340136054421769		NAIVE
20	tropics	0.5340136054421769	2025-08-27	0.5340136054421769		NAIVE
20	tropics	0.5340136054421769	2025-08-28	0.5340136054421769		NAIVE
20	tropics	0.5340136054421769	2025-08-29	0.5340136054421769		NAIVE
20	tropics	0.5340136054421769	2025-08-30	0.5340136054421769		NAIVE
20	tropics	0.5340136054421769	2025-08-31	0.5340136054421769		NAIVE
20	tropics	0.5578231292517006	2025-09-01	0.5578231292517006		NAIVE
20	tropics	0.5578231292517006	2025-09-02	0.5578231292517006		NAIVE
20	tropics	0.5578231292517006	2025-09-03	0.5578231292517006		NAIVE
20	tropics	0.5578231292517006	2025-09-04	0.5578231292517006		NAIVE
20	tropics	0.5578231292517006	2025-09-05	0.5578231292517006		NAIVE
20	tropics	0.5578231292517006	2025-09-06	0.5578231292517006		NAIVE
20	tropics	0.5578231292517006	2025-09-07	0.5578231292517006		NAIVE
20	tropics	0.5257936507936508	2025-09-08	0.5257936507936508		NAIVE
20	tropics	0.5257936507936508	2025-09-09	0.5257936507936508		NAIVE
20	tropics	0.5257936507936508	2025-09-10	0.5257936507936508		NAIVE
20	tropics	0.5257936507936508	2025-09-11	0.5257936507936508		NAIVE
20	tropics	0.5257936507936508	2025-09-12	0.5257936507936508		NAIVE
20	tropics	0.5257936507936508	2025-09-13	0.5257936507936508		NAIVE
20	tropics	0.5257936507936508	2025-09-14	0.5257936507936508		NAIVE
20	tropics	0.5166666666666667	2025-09-15	0.5166666666666667		NAIVE
20	tropics	0.5166666666666667	2025-09-16	0.5166666666666667		NAIVE
20	tropics	0.5166666666666667	2025-09-17	0.5166666666666667		NAIVE
20	tropics	0.5166666666666667	2025-09-18	0.5166666666666667		NAIVE
20	tropics	0.5166666666666667	2025-09-19	0.5166666666666667		NAIVE
20	tropics	0.5166666666666667	2025-09-20	0.5166666666666667		NAIVE
20	tropics	0.5166666666666667	2025-09-21	0.5166666666666667		NAIVE
20	tropics	0.36666666666666664	2025-09-22	0.36666666666666664		NAIVE
20	tropics	0.36666666666666664	2025-09-23	0.36666666666666664		NAIVE
20	tropics	0.36666666666666664	2025-09-24	0.36666666666666664		NAIVE
20	tropics	0.36666666666666664	2025-09-25	0.36666666666666664		NAIVE
20	tropics	0.36666666666666664	2025-09-26	0.36666666666666664		NAIVE
20	tropics	0.36666666666666664	2025-09-27	0.36666666666666664		NAIVE
20	tropics	0.36666666666666664	2025-09-28	0.36666666666666664		NAIVE
20	tropics	0.3333333333333333	2025-09-29	0.3333333333333333		NAIVE
20	tropics	0.3333333333333333	2025-09-30	0.3333333333333333		NAIVE
20	tropics	0.3333333333333333	2025-10-01		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-02		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-03		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-04		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-05		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-06		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-07		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-08		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-09		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-10		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-11		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-12		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-13		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-14		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-15		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-16		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-17		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-18		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-19		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-20		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-21		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-22		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-23		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-24		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-25		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-26		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-27		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-28		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-29		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-30		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-10-31		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-01		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-02		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-03		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-04		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-05		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-06		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-07		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-08		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-09		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-10		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-11		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-12		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-13		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-14		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-15		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-16		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-17		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-18		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-19		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-20		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-21		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-22		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-23		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-24		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-25		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-26		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-27		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-28		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-29		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-11-30		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-01		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-02		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-03		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-04		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-05		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-06		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-07		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-08		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-09		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-10		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-11		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-12		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-13		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-14		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-15		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-16		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-17		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-18		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-19		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-20		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-21		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-22		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-23		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-24		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-25		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-26		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-27		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-28		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-29		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-30		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2025-12-31		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-01		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-02		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-03		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-04		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-05		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-06		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-07		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-08		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-09		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-10		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-11		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-12		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-13		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-14		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-15		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-16		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-17		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-18		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-19		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-20		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-21		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-22		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-23		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-24		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-25		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-26		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-27		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-28		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-29		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-30		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-01-31		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-01		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-02		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-03		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-04		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-05		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-06		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-07		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-08		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-09		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-10		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-11		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-12		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-13		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-14		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-15		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-16		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-17		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-18		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-19		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-20		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-21		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-22		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-23		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-24		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-25		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-26		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-27		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-02-28		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-01		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-02		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-03		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-04		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-05		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-06		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-07		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-08		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-09		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-10		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-11		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-12		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-13		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-14		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-15		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-16		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-17		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-18		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-19		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-20		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-21		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-22		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-23		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-24		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-25		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-26		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-27		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-28		0.3333333333333333	NAIVE
20	tropics	0.3333333333333333	2026-03-29		0.3333333333333333	NAIVE
