variant	country	date	freq	median_freq_nowcast	median_freq_forecast	model
20	tropics	2044-07-16	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-17	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-18	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-19	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-20	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-21	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-22	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-23	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-24	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-25	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-26	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-27	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-28	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-29	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-30	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-07-31	0.01391812859037074	0.01391812859037074		NAIVE
20	tropics	2044-08-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-08-31	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-09-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-10-31	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-11-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2044-12-31	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-01-31	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-02-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-01	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-02	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-03	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-04	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-05	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-06	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-07	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-08	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-09	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-10	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-11	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-12	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-13	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-14	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-15	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-16	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-17	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-18	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-19	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-20	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-21	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-22	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-23	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-24	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-25	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-26	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-27	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-28	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-29	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-30	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-03-31	0.015252083642244688	0.015252083642244688		NAIVE
20	tropics	2045-04-01	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-02	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-03	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-04	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-05	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-06	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-07	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-08	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-09	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-10	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-11	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-12	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-13	0.015252083642244688		0.015252083642244688	NAIVE
20	tropics	2045-04-14	0.015252083642244688		0.015252083642244688	NAIVE
